Invoice No,Total Invoice Value
548692,8
548693,0
548694,0
C548695,-23
548696,114
548697,620
548698,204
548699,20
548700,133
548701,139
548702,195
548703,121
548704,411
548705,48
548706,178
548707,112
548708,431
548709,136
548710,184
548711,136
548712,510
C548713,-25
548714,329
548715,403
548716,188
548718,1358
C548717,0
548720,1
C548721,-8
C548722,-8
C548723,-23
C548724,-14
548725,134
548726,282
C548727,-10
548728,512
C548729,-8
548730,444
C548731,-1248
548732,282
548733,479
548734,153
548735,384
548736,408
548737,435
C548738,-24
548739,338
548740,464
548741,125
548742,199
548743,397
548744,217
548745,430
548746,40
548747,240
C548748,-240
548749,220
548757,257
548768,173
548780,306
548792,135
548796,286
548801,255
548806,286
548807,1419
548808,303
548813,4035
548820,2053
C548830,-4035
C548834,-2053
C548851,-15
548856,15
C548857,-15
548858,217
548859,159
548860,241
548861,195
548862,12
548863,1049
548864,94
548865,267
C548866,-5
548867,111
548868,446
548869,115
548870,91
548871,44
548872,60
548873,160
548874,616
548886,0
548887,0
548888,0
548889,0
548890,0
C548891,-3
548892,101
548893,1695
548894,1860
548895,3
548896,200
548897,0
548898,119
548899,492
548900,115
548901,18
C548906,-6
548907,490
C548908,-6
548909,492
548910,0
548911,113
548912,420
548913,1136
C548914,-1136
C548915,-24
548916,212
548917,163
548918,224
548919,427
548920,251
548940,0
C548941,-48
548942,84
548945,11
C548947,-14
548952,293
548955,288
548968,1478
548969,752
548970,700
548971,136
C548972,-224
548973,224
548974,252
548975,95
C548976,-24
548977,5
548978,561
548979,272
548980,0
548981,480
C548982,-39
548983,88
548984,361
548985,84
548986,0
548987,599
548988,283
548989,0
548990,194
548991,95
548992,668
548993,2830
548994,99
C548995,-24
548996,90
548997,0
548998,0
548999,0
549000,0
549001,0
549002,0
549003,0
549004,0
549005,0
549006,0
549007,72
549008,0
549009,0
549010,0
549011,0
549012,106
C549013,-3
549014,117
549015,160
549016,24
549017,301
549018,270
C549019,-17
549020,208
549021,134
549022,72
549023,967
549026,227
549027,4800
549028,0
549029,0
549030,0
549031,0
549032,0
549033,0
549034,0
549035,0
549036,0
549037,0
549038,0
C549039,-6
549040,0
C549041,-21
549042,0
549043,0
549044,234
C549045,-12
549046,256
549047,75
549048,83
C549049,-2
C549050,-16
C549051,-32
549052,243
549053,192
549054,230
549055,84
549056,87
549059,150
C549098,0
549099,163
549100,2898
549101,114
549102,135
549103,0
549104,620
549105,0
549106,39
549107,0
549115,990
549116,338
549117,50
549118,601
549119,235
549120,134
549121,326
549122,22
549123,164
549124,360
549125,165
549126,208
549127,664
549128,229
549129,110
549130,192
549131,48
549132,0
549133,0
549134,0
549135,0
549136,0
549137,0
549138,0
549139,0
549140,0
549141,0
549142,0
549143,0
549144,0
549145,0
549146,0
549147,0
549148,102
549149,0
549150,0
549151,0
549153,470
549154,264
549155,1133
549156,0
549157,0
549158,0
549159,0
549160,0
549161,0
C549162,-8
549163,0
549164,0
549165,0
549166,0
549167,0
549168,0
549169,50
549170,0
549171,0
549172,0
549173,0
549174,0
549175,0
549176,0
549177,0
549178,0
549179,0
549180,0
549181,8
549182,78
549183,109
C549184,-40
549185,420
549186,216
549187,160
549188,218
549189,171
549190,182
C549191,-80
549192,180
549193,238
549196,240
549206,80
549222,486
549225,288
C549230,-12
549233,136
549234,213
549235,389
549236,28
549237,135
549238,265
549239,132
549240,70
549241,250
549242,162
549243,78
549244,0
549245,82
549246,752
549247,109
549248,0
549249,144
549250,130
549251,92
C549252,-22
C549253,-11
C549254,-2
549255,138
549256,66
549257,149
549258,228
549259,60
549260,79
549261,403
549262,197
549263,190
549264,0
549266,0
C549265,-6
549267,0
549268,0
C549269,-20
549270,0
549271,0
549272,281
549273,256
549274,272
549275,110
549276,194
549277,69
549278,76
549279,134
549280,392
549281,458
549282,168
549283,255
549284,332
549285,60
549286,58
549287,37
C549288,-10
549289,105
C549290,-9
549291,166
549292,78
549293,102
549294,142
549295,1398
549296,306
549297,152
549298,192
549299,209
549300,562
549301,302
549302,326
549303,178
549304,227
549305,119
549306,98
549307,218
549308,98
549309,108
549310,134
549311,272
549312,90
549313,292
549314,1
C549315,-7
549316,877
549317,405
549318,200
549319,102
549320,78
549321,256
549322,178
549323,150
549324,142
549325,500
549326,0
549327,0
549328,0
549329,0
549330,0
549331,0
549332,0
549340,0
549342,0
549343,0
549344,0
549345,0
549346,0
549347,0
549348,0
549349,0
549350,0
549351,0
549353,105
549355,0
549360,108
549368,63
549371,0
549372,170
549373,0
549374,0
549375,0
549376,0
549387,294
549412,176
549417,72
549424,432
549425,225
549426,0
549427,0
549428,342
549429,249
C549430,-13
549431,659
549432,100
549433,130
549434,300
549435,239
549436,74
C549437,-40
C549438,-3
549439,483
549440,133
549441,8
549442,258
549443,76
549444,300
549445,240
549446,137
549447,0
549448,244
549449,240
C549450,-8
549451,226
C549452,-1867
549453,0
549454,0
549455,0
549456,0
549457,0
549458,0
549459,0
549460,0
549461,0
549462,0
549463,0
549464,0
549465,0
549466,0
549467,106
549468,1867
549470,0
549471,24
549489,0
549492,0
549494,0
549497,0
549498,0
549500,0
549502,0
549506,0
549510,0
549514,0
549520,596
549522,342
549523,26
549524,1226
549525,891
549526,273
549527,0
549528,0
549529,0
C549530,-4
549531,0
C549532,-7
C549533,-12
549534,0
C549535,-12
549536,5
549537,50
549538,18
549539,264
C549540,-14
549541,0
549542,621
549543,143
C549544,-200
C549545,-1
549546,528
549547,352
549548,191
C549549,-250
549550,135
549551,326
549552,96
549553,93
549554,402
549555,98
549556,149
549557,72
549558,127
549559,339
549560,67
549561,136
549562,42
549563,62
549564,91
C549565,-7
549566,89
549567,212
549568,817
549569,160
549570,112
549571,417
549572,167
549573,198
549574,222
549575,121
549576,334
549577,1070
549578,634
549579,157
C549580,-27
549581,119
C549582,-36
549583,304
549584,159
549585,128
549586,1790
549587,294
549588,260
549589,194
549590,244
549591,660
549592,217
549593,130
549594,384
549595,637
549596,228
549597,332
549614,134
549619,480
549628,0
549633,284
549646,236
549664,136
549665,118
C549666,-85
549667,496
549668,32
549669,0
549670,96
549678,376
549679,48
549680,228
549681,168
549682,178
549683,96
549684,30
C549685,-1
C549686,-18
549687,174
C549688,-1
549689,16
549690,266
549691,92
549693,194
C549692,-10
549694,31
549695,0
549696,144
549705,123
549711,342
549712,14
549713,215
549714,30
549715,93
549716,252
549717,15
549718,197
549719,159
549720,111
549721,196
549722,90
C549723,0
549728,70
549729,191
549730,143
C549731,-2
549732,510
549733,191
549734,298
549735,560
549736,127
549737,134
549738,1146
549739,308
549740,304
549741,305
549742,440
549743,146
549744,240
549745,251
549746,2050
549747,400
549748,436
549749,304
549750,99
549751,504
549752,20
C549753,-20
549754,108
549755,272
549756,12
549771,281
C549783,-23
549787,124
C549786,-63
C549788,-8
549789,286
549790,92
549813,110
C549822,-16
C549823,-4
C549824,-10
549825,252
549826,359
C549827,-6
549828,24
549829,241
549830,80
549831,582
549832,152
549833,662
549834,240
549835,876
549836,138
549837,1152
549838,76
549839,80
C549840,-4
549841,2
549842,143
549843,160
549844,252
549845,297
549846,0
549847,146
549848,0
549849,0
549850,36
549851,228
549852,116
549874,206
549880,204
549881,198
549885,349
C549895,-48
549896,6
C549897,-7
C549898,-35
C549899,-7
C549900,-13
549901,164
549902,251
549903,257
549904,1
C549905,-40
549906,121
549907,278
C549908,-30
549909,211
549910,97
549911,204
C549912,-5
C549913,-12
549914,220
549915,298
549916,168
549917,79
549918,188
C549919,-6
549920,90
C549921,-18
C549922,-12
549923,150
549924,102
549925,1056
549926,0
549927,2324
549928,200
549929,137
C549930,-15
549932,80
C549931,-97
549933,186
549934,71
549935,0
549936,455
549937,237
549938,320
549939,192
549940,643
549941,0
549942,108
549943,89
549944,136
C549945,-41
549946,168
549947,257
549948,0
549949,116
549950,0
549951,410
549952,0
549953,881
549954,117
C549955,-32
549956,68
549957,112
549958,372
549959,156
C549960,-24
549961,24
C549962,-20
549964,592
549965,252
549966,201
549967,336
549969,200
C549968,0
549970,105
549971,20
549972,324
C549973,-72
549974,89
549975,215
549976,76
549977,128
549978,187
549979,20
549980,248
549981,220
549982,354
549983,117
549984,414
549985,822
C549986,-6
C549987,-20
549988,304
549989,291
549990,122
549991,296
549992,270
549993,168
549994,40
549995,716
549996,344
549997,144
549998,356
549999,570
550000,423
550001,259
550002,58
550003,108
550004,206
550005,200
550006,188
550007,300
550008,230
C550009,-57
C550010,-3
550011,8
550012,31
C550013,-9
C550014,-16
550015,544
550016,553
550017,386
550025,112
C550024,-158
C550026,-4
C550027,0
C550028,-1
C550029,-24
550030,26
550031,400
550032,12
550033,121
550034,408
550035,684
550052,325
550054,112
550057,83
550071,260
C550099,-11
550106,174
550120,212
550121,89
550122,768
550123,163
550124,264
550125,313
550126,98
C550127,-11
550128,26
550129,549
550130,390
550131,64
550132,163
550133,0
550134,616
550135,1080
550136,228
550137,1748
550138,84
550144,222
550145,483
C550147,-54
550148,143
550149,191
550150,48
550151,132
550152,90
550153,0
550154,70
550155,128
550156,288
550157,98
550158,440
550159,972
550160,332
550161,340
550162,132
550163,739
550164,60
C550165,0
550167,166
550169,225
C550168,0
C550170,-12
C550171,-1
C550172,0
550173,138
C550174,0
C550176,-9
C550177,-2
550178,305
550179,120
550180,344
C550181,-191
550182,272
550183,834
550184,84
550185,514
550186,420
550187,252
550188,526
550189,192
550190,103
550191,170
550192,240
550193,1482
550194,82
C550195,-6
550196,312
550197,32
550198,24
550199,236
550200,52
550201,934
550202,647
550203,270
550204,268
550205,452
550206,548
550207,501
550208,800
550209,595
550210,743
550211,384
550212,407
550213,556
550214,650
550215,826
550216,104
550218,248
550242,16
550249,4
550250,161
550251,178
550255,150
550264,268
550265,60
550272,44
550274,216
550275,208
550276,240
550277,407
550278,2540
550279,578
550280,290
550281,140
550282,84
550283,452
550284,111
550285,233
550286,274
550287,89
550288,83
550289,183
550290,236
550291,125
550292,49
550296,126
550297,213
550298,170
550299,2526
C550300,-4
550301,238
550302,348
550303,130
550304,199
550305,212
C550306,-16
550307,256
550308,200
550309,72
550310,468
550311,71
550312,228
550313,361
550314,168
550315,172
550316,208
550317,217
550318,89
550319,113
550320,434
550321,88
550322,129
550323,511
550324,210
550325,218
550326,67
550327,405
550328,126
550329,219
550330,48
550331,170
550332,153
550333,337
550334,341
550335,105
550336,168
550337,2
550338,71
550339,279
550340,44
550341,272
550342,267
550343,134
550344,576
550345,48
550346,236
550347,168
550348,210
C550349,-10
550350,649
550351,98
550352,162
550354,222
C550353,-9
C550355,-222
C550356,-2
550357,104
C550358,-32
550359,284
550360,330
550361,572
550362,575
C550363,-7
550364,136
C550365,-71
550377,32
550389,112
550408,336
C550423,-48
550437,141
550438,582
550439,387
550440,168
C550442,-4
550446,377
550447,309
550448,15
550449,245
550450,72
C550451,-44
550452,131
550453,96
C550454,-6
C550455,-12
C550456,-18708
550457,955
550458,2016
550459,127
550460,0
550461,18708
550462,124
C550463,-17
550464,324
550465,108
C550466,-2
550467,182
550468,288
550469,115
550470,1418
550471,1297
C550472,-4
550473,158
550474,1329
C550475,-108
550476,108
550477,505
550478,198
550479,422
550480,87
550481,136
550483,32
C550482,-12
C550484,-3
C550485,-29
C550486,-2
550487,128
550488,96
C550489,-30
550490,244
550491,16
550492,156
550493,738
C550494,-13
550495,161
550496,1485
550497,320
550498,79
550499,1024
550500,1696
550501,0
550502,0
550503,220
550504,154
C550511,-48
550512,237
550513,285
550514,184
550515,151
550516,81
550517,432
550518,250
550519,312
550520,190
550521,284
550522,212
550523,207
550524,240
550525,325
550526,276
550527,1068
550528,146
C550529,-158
C550530,-11
550531,24
550532,81
C550533,-8
C550534,-16
550535,134
C550536,-36
C550537,0
C550538,-9
550539,85
C550540,-3
550541,1212
550542,1473
550560,104
550579,108
550606,164
550607,182
550608,924
C550609,-81
550610,81
C550611,-18
550612,130
550613,436
C550614,-18
550615,145
550616,192
550617,248
550618,249
550619,100
550620,519
550621,115
550622,678
550623,102
550624,66
550625,220
550626,53
550627,331
550628,50
550629,141
550630,360
550631,296
550632,133
550633,208
550634,12
550635,360
550636,860
550637,307
550638,1070
550639,116
550640,5
550641,9
C550642,-12
550643,0
550644,299
550645,142
C550646,-10
C550647,-28
C550648,-4
550649,24
C550650,-15
550651,357
550655,93
550656,220
550657,222
550658,384
550659,194
550660,60
550661,402
550662,420
550663,20
550665,292
C550664,-2
550666,232
550667,0
C550668,-42
550669,96
550670,72
550671,100
C550672,-100
550673,260
550674,200
550675,202
550701,232
C550709,-6
550710,2248
550711,984
550712,600
550713,12
550714,300
550723,95
550740,2679
550750,259
C550751,-24
C550752,-3
550753,0
550754,540
550755,74
550756,144
550757,0
550758,0
550759,0
550760,0
550761,0
550762,0
550763,0
550764,95
550765,142
550766,171
550767,96
550768,661
550769,184
C550770,-9
C550771,-14
550772,54
550773,318
550774,401
550775,824
550776,100
550777,146
550778,295
550779,1056
C550780,-14
550781,342
550782,200
550783,304
550784,252
550785,150
550786,48
C550787,-24
550796,91
550797,12
550798,210
550799,223
550800,0
550801,188
550802,232
550803,168
550804,258
550805,313
550806,172
C550807,-12
C550808,-10
C550809,-3
C550810,-10
550811,78
C550812,-45
C550814,-8
550815,0
550817,88
550818,108
550819,267
550820,279
550821,57
550822,642
550823,1743
550824,5
C550825,-25
550826,184
550827,448
550828,86
550829,234
550830,121
550831,150
550832,352
550833,20
550834,117
550835,543
550836,482
550837,85
550838,97
550885,267
550890,401
550898,9
550899,736
550900,284
550901,183
550906,296
550907,200
550908,0
550911,703
550912,255
550913,253
550914,1492
550915,96
550916,102
550917,144
550918,274
550919,10
550920,94
550921,410
550922,0
550923,116
550924,576
550925,182
550926,0
550927,0
550928,0
550929,0
550930,0
550931,4
C550932,-475
C550933,-678
550934,400
550936,136
C550935,-194
550937,96
550938,140
550939,227
550940,492
550941,245
550942,177
550943,0
550944,55
550945,0
550946,126
550947,0
550948,0
550949,3
550950,0
550951,0
550952,0
550953,1740
550954,0
550955,182
550956,200
550957,73
550958,164
C550959,-4
550960,134
C550961,-4
C550962,-13
550963,12
550964,376
550965,102
C550966,-7
550967,24
550968,529
C550969,0
550970,0
550971,127
550972,69
550973,735
550974,108
550975,0
550976,0
550977,0
550978,144
550979,0
550980,0
550981,0
550982,0
550983,0
550984,0
550985,0
550986,1456
550987,977
550988,234
550989,166
550990,312
550991,144
550992,100
550993,332
550994,291
550995,236
550996,188
550997,340
550998,200
550999,154
551000,112
551001,400
551002,232
551003,294
551004,603
551005,628
551006,528
551007,532
551008,495
551009,1009
551010,503
551011,147
551012,2736
551013,162
551014,1040
C551015,-73
551016,653
C551017,-80
551019,0
551020,0
C551018,-24
551021,256
551028,244
551033,288
551035,544
551054,344
551055,308
551056,153
551057,212
551058,83
551059,205
551060,2
C551061,-1
551062,304
551085,350
551088,289
551124,244
551125,290
551126,0
551133,444
551134,369
551135,5
551136,316
551137,134
551138,36
C551139,-108
C551140,-7
551141,18
551142,294
551143,87
551144,72
551145,90
551146,40
551147,248
551148,720
551149,110
551150,132
551151,120
551152,223
551158,265
551159,120
551160,607
551161,162
551162,36
551163,103
551164,17
551165,0
551166,816
C551167,-6
551168,0
551170,192
551171,196
551172,74
551173,679
551174,904
C551175,-4
551176,5
551177,14
C551178,-18
C551179,0
C551180,0
551181,504
551182,20
551183,120
551184,288
551185,320
551186,0
551187,224
551188,236
551189,500
C551190,-120
551191,640
551192,246
551193,151
551194,73
C551195,-84
551197,145
551198,72
C551196,-8
551199,192
551200,8
551201,0
551202,96
551211,391
551218,106
551234,428
551240,0
551243,0
551247,233
551250,187
551258,956
551259,1500
551262,92
C551265,-11
551268,79
551269,556
551270,295
551271,99
551272,24
551273,538
551274,252
551275,364
551276,153
551277,294
551278,268
551279,0
551280,72
551281,65
551282,159
551283,298
551284,160
C551285,-20
551286,312
551287,0
551288,28
551289,532
551290,200
551291,570
551292,292
551293,108
551294,84
551299,12
551301,816
551302,0
551304,0
551305,136
551314,584
551315,211
C551316,-12
551317,21
551318,0
551319,0
551320,0
551321,0
551322,0
551323,0
551324,0
551325,18
551326,0
551327,0
551328,0
C551329,-14
C551330,-9
C551331,-18
551332,395
C551333,-10
551334,4
C551335,-8
C551336,-4
551337,102
551338,4
551339,776
551340,1257
551341,415
551342,222
551343,166
551344,286
551345,498
551346,341
551347,292
C551348,-400
551349,246
551350,360
551351,2816
551352,248
551383,86
551384,384
551385,313
C551386,-1
551387,183
C551388,-24
551389,114
551390,159
551391,300
551392,129
551393,633
551394,0
551395,70
551396,331
551397,154
551398,276
551399,313
551400,362
551401,4
551412,151
551413,240
551414,1131
551415,66
551416,20
551417,357
551418,45
551419,400
551420,310
551421,67
551422,0
551423,64
551424,16
551425,0
551426,228
551427,116
551428,258
551429,0
551430,0
551431,0
551432,0
551433,0
551434,0
551435,0
551436,189
551437,98
551438,236
551439,268
551440,128
551441,0
551442,0
551443,0
551444,0
551445,66
551446,0
551447,0
551448,0
551449,0
551450,0
551451,0
551452,0
551453,0
551454,0
551455,0
551456,0
551457,0
551458,0
551459,0
551460,0
551461,0
551462,211
C551463,-18
C551464,-84
C551465,-14
C551466,-6
551467,222
551468,939
551469,12
551470,74
551471,186
551501,160
551506,0
551507,220
C551508,-28
C551509,-48
C551510,-400
C551511,-68
C551512,-24
C551513,-13
551514,78
551515,264
551516,602
551517,135
551518,350
551519,315
551520,104
C551521,-2
C551522,-3
551523,36
551524,208
551525,331
C551526,-1
551527,318
551528,78
551529,772
551530,2
551531,448
551532,228
551533,125
551534,584
551535,100
551536,3
551537,28
551538,0
551539,328
C551540,-158
C551541,-14
551542,210
551543,116
551544,530
551545,24
551546,233
551547,3186
551548,294
551549,181
551550,32
C551551,-16
551552,36
551553,0
551554,0
551555,29
551556,94
C551557,-48
551558,238
551559,328
551560,732
551561,232
551562,0
551563,976
551564,421
551565,0
551566,554
551567,0
551568,0
551569,0
551570,0
551571,0
551572,0
551573,0
551574,0
551575,0
551576,0
551577,0
551578,0
551579,0
551580,0
551581,0
551582,0
551583,0
551584,323
C551585,-8
551586,0
C551587,-39
C551588,-6
551589,0
551595,0
551599,245
551603,378
C551602,-6
551616,111
551617,384
551618,486
551623,157
C551646,-10
551647,42
551649,184
551650,780
C551648,-80
551651,0
551652,242
551653,280
551654,178
551655,64
551656,457
551657,400
551658,332
C551659,-6
551660,66
551661,57
551662,248
551663,0
551664,0
551665,252
551666,0
551667,0
551668,0
551669,0
551671,0
C551670,-4
551672,0
551673,0
C551674,-5
C551683,-28
C551684,-4
C551685,-8142
551686,397
551687,124
551688,200
551689,0
551690,0
551691,0
551692,0
551693,174
551694,0
551695,0
551696,570
551697,8142
551698,637
C551699,-6930
551700,0
551701,0
551702,394
551704,0
551705,0
C551712,-2
551713,142
551714,135
551715,224
551716,5
551717,173
551718,1285
551719,1114
551720,51
551721,236
551722,0
551723,0
551724,136
551725,460
551726,456
551727,470
551728,70
551729,20
551730,258
551731,264
C551732,-12
551733,250
551734,257
551735,0
551736,504
C551737,-2
551739,97
551747,724
551774,79
551775,562
551776,156
C551778,-6
551791,417
551809,2728
551810,168
551811,694
551812,232
551813,171
551814,70
551815,64
551816,202
551817,129
551818,172
551819,252
551820,284
551821,208
551822,96
551823,245
551824,284
551825,20
551826,0
551832,0
551833,346
551834,24
551835,333
551836,33
551837,0
551838,0
551839,362
551840,934
C551841,-4
551842,118
551843,154
551844,84
551845,12
551846,326
551847,4
551848,4
551849,792
551850,226
551851,950
551852,225
551853,2
551854,268
551855,610
551856,216
551857,239
551858,58
551859,96
551860,82
C551861,-5
551862,191
C551863,0
C551864,-8
C551865,-21
C551867,-4
551868,1017
551869,182
551870,101
551872,138
551874,252
551875,400
551876,244
551877,100
551878,108
551879,264
551880,262
551881,108
551882,80
551883,176
551884,36
551885,156
551886,102
551887,164
551888,48
551889,184
551890,90
551891,76
C551892,-7
551893,348
551894,39
551895,64
551896,98
551897,64
551900,0
551902,0
551907,33
551944,90
551945,15
551946,276
C551947,-12
C551948,-33
C551949,-6
551950,268
551951,0
551952,388
551953,398
551954,318
551955,36
551956,236
551957,274
551958,184
551959,80
551960,354
551961,235
551962,120
551963,140
551964,0
551965,0
551966,247
551967,118
551976,648
551977,168
551978,246
551979,160
551980,97
551981,704
551982,678
551983,380
551984,188
551985,115
551986,196
551987,147
551988,106
551989,192
551990,64
551991,39
551992,378
551993,47
551994,296
551995,1161
551996,266
551997,1112
551998,173
C551999,-9
552000,947
552004,84
552005,418
552006,4
552007,216
552008,296
552009,25
552010,192
552011,111
C552012,-18
552013,1376
C552014,-6
C552015,-1
C552016,-2
552017,20
552018,168
C552019,-2
C552020,-5
C552021,0
C552022,-4
552023,245
C552024,-8
552025,289
552026,0
552028,44
C552027,-3
C552029,-13
C552030,-7
C552031,-185
552032,63
552033,112
552034,54
552035,16
552036,167
552037,156
552038,2946
552039,2905
552040,474
552041,90
552042,844
C552043,-4
552044,276
552045,244
552046,272
C552047,-12
552048,480
C552049,-74
552050,0
552051,277
552052,0
552053,116
552054,234
552055,204
552056,288
552057,145
552058,416
552059,42
552060,72
552061,976
552062,64
552063,1
552064,92
552065,149
552078,230
552080,336
552108,208
552121,170
552127,30
552134,422
552135,0
552139,114
552149,474
552166,236
552167,84
552168,150
552169,87
552170,164
552171,912
552172,0
C552173,-48
552174,0
552175,0
552176,85
552177,0
552178,0
552179,95
552180,247
552181,1080
552182,172
552183,131
552184,148
552185,291
552186,294
552187,0
552188,264
552189,0
C552190,0
552191,45
552192,262
552193,116
552194,4
552195,180
552196,116
552197,84
552198,54
552202,141
C552203,-189
552211,104
C552212,-16
C552213,-8
552214,0
552215,0
552216,0
552217,243
552218,0
552219,0
552220,0
552221,0
552222,0
552223,0
552224,0
552225,0
552226,0
552227,0
552228,0
552229,1249
552230,0
552231,483
552232,1939
552233,94
552234,1362
552235,232
552236,428
C552237,-7
552238,120
552239,281
552240,159
C552241,-3
552242,52
552243,73
552244,21
552245,98
552246,13
552247,13
552248,5
552249,28
552250,2
552251,11
552252,145
552253,130
552254,128
552255,42
552256,273
552257,282
C552258,-14
552259,192
552260,416
552261,180
552262,652
552263,233
552264,126
552265,467
552266,202
552267,102
552268,356
552269,211
552270,86
552271,109
552272,840
552273,246
552274,226
552275,56
552276,160
552277,285
552278,155
552279,90
552280,106
552281,687
552282,270
552283,95
552284,188
552285,226
552286,174
552287,70
552288,224
552289,4
552290,156
552291,320
552292,32
552293,128
552294,124
552295,188
552296,197
552297,118
552298,200
552299,104
C552300,0
C552301,-4
552302,60
552303,197
552304,101
552305,91
552306,222
552307,81
552308,230
552309,220
552310,83
552311,216
552312,148
552313,612
552314,58
552315,726
552316,207
C552317,-36
552318,275
552319,39
552320,184
552321,254
552322,247
552323,178
552324,502
552325,254
552326,236
552327,72
552328,330
552329,230
552330,266
552331,0
552332,220
552333,447
C552334,-5
C552335,-16
552336,298
552337,434
552338,126
552340,360
C552339,-5
552341,768
552342,624
C552343,-125
552353,215
552357,187
552358,542
552364,197
552365,204
552371,54
552372,165
552376,93
552404,150
C552406,-39
552410,101
552418,210
C552423,-11
552441,130
552442,282
552443,0
552444,142
552445,554
552446,222
552447,35
552448,90
552449,374
552450,630
552451,298
552452,95
552453,520
552454,512
C552455,-587
552456,168
552457,254
C552458,-440
552460,530
552461,292
C552459,-598
C552462,-4
552463,67
552464,90
552465,144
552466,236
552467,340
552468,206
552469,170
552472,196
552479,44
552491,264
552492,72
552493,1196
552508,1241
552514,1530
552520,1209
552521,42
552522,14
552523,200
552524,4
552525,12
552526,113
552527,0
552528,119
552529,26
552530,194
552531,241
552532,344
552533,336
552534,3
C552535,-26
552536,212
552537,57
552538,14
552539,399
552540,144
552541,68
552542,160
552543,208
552544,140
552545,108
C552546,-22
552547,722
552548,117
552549,334
552550,1088
552551,92
C552552,-428
C552553,-334
552554,227
552555,232
C552556,-145
552557,348
552558,221
552559,220
552560,625
552561,36
552562,200
552563,1519
552565,306
C552564,-400
552566,400
552567,56
C552568,0
C552569,0
C552570,-18
552571,222
552572,2016
552573,32
552574,1770
552575,84
552576,40
552577,60
C552585,-6
552614,330
552624,528
552631,208
552638,397
552639,46
552640,127
552641,316
552642,320
552643,122
552644,330
552645,8
552646,96
552647,16
552648,195
552649,102
C552650,-18
552651,170
552652,198
552653,0
552654,98
552655,143
552656,471
552657,134
552658,182
552659,2904
552660,754
552661,258
552662,546
552663,461
552664,244
552665,400
552666,440
552667,510
552668,593
552669,244
552670,617
552671,459
552672,502
552673,364
552674,519
552675,629
552676,823
552677,717
552678,693
552681,678
552683,505
552684,611
552687,903
552690,261
552692,202
552693,0
552694,693
552695,550
552696,65
552697,44
C552698,-2
552699,232
C552700,-2
C552701,-10
552702,1072
552703,180
C552704,-22
C552705,-5
C552706,-11
C552707,-9
552708,147
C552709,-24
552710,1350
552711,288
552712,184
552713,7
552714,233
552715,204
552716,24
552717,8
C552718,0
C552719,-24
C552720,-11
552721,322
C552722,0
552723,288
552724,696
552725,40
552726,300
552727,404
552728,616
552729,24
552730,347
552731,292
552732,376
552733,0
552734,666
552735,196
C552744,-3
552763,0
552764,108
C552765,-9
552766,0
552767,0
552768,0
552769,122
552770,164
552779,138
552786,768
552789,192
552802,95
552803,235
552804,292
C552805,-118
552806,72
552811,1169
552813,248
552814,70
552815,16
552816,176
552817,442
552818,96
552819,1008
552820,309
552821,188
552822,269
552823,74
552824,345
552825,384
552826,1137
552827,208
552828,208
552829,362
552830,286
552831,210
552832,16
552833,0
552834,16
552835,120
552837,96
552838,102
552839,651
552840,0
C552841,-73
552842,43
552843,264
552844,272
552845,442
552846,234
552847,163
552848,42
C552849,-42
552850,42
552851,904
552852,302
552853,36
552854,159
552855,240
C552856,-12
552857,1424
C552858,-39
552859,20
552860,86
552861,26
552862,4
C552863,-5
552864,822
552865,45
552866,42
552867,968
552868,0
552869,218
552870,82
552871,170
552872,644
552873,34
552874,534
552875,116
C552876,-929
552877,190
552878,614
552879,452
552880,178
552881,112
552882,1294
552883,8410
552884,139
552885,216
552886,322
552887,32
552888,2016
C552889,-1
552890,269
552891,369
552892,6
552893,334
552894,76
552904,856
552905,456
C552919,-2
C552936,-48
C552944,-4
552945,128
552946,222
552947,160
552948,252
552949,539
552950,458
552951,249
552952,90
552953,121
552954,190
552955,448
552956,370
552957,1340
552958,368
552959,192
552960,244
552961,240
552962,470
552963,173
552964,241
552965,240
552966,42
552967,64
552968,134
552969,246
552970,360
552971,120
552972,168
552973,120
552974,66
552975,379
552977,180
552978,6764
552979,0
552980,523
552988,190
552990,246
C552995,0
553000,36
553001,212
553002,201
553003,0
553004,198
553005,320
553006,310
553007,180
553008,148
553009,251
553011,235
553012,306
553013,1634
553014,423
553015,47
553016,6
553017,444
553018,557
C553019,-557
C553020,-6
553021,528
553022,56
C553023,0
C553024,-1
C553025,-30
C553026,-7
C553027,-2
C553028,-4
C553029,-24
C553030,-2
C553031,-16
C553032,-27
C553033,-41
553034,280
553035,369
553036,144
553037,612
553038,90
553039,363
553040,200
553041,0
553042,218
553043,600
553044,388
553045,832
553046,268
553047,12
553048,418
553049,10
553050,270
553051,10
553052,942
553053,262
553054,109
553055,276
553056,16
553057,334
553058,114
553059,96
553060,366
553061,213
553062,500
553063,210
553064,31
553067,897
553074,190
553088,721
553093,260
553095,236
553099,100
553100,5
553102,852
553120,634
553125,373
553129,118
553130,180
553131,72
553134,408
553140,75
553141,174
553142,80
553143,69
553144,356
553145,260
553146,416
553147,0
553148,1219
553149,526
C553150,-4
553151,476
553152,264
553153,12
553154,304
553155,32
553156,163
553157,8
553158,560
553159,290
553160,60
553161,270
553162,1181
553163,0
553164,16
553165,131
553166,272
553167,1336
553168,252
553169,80
553170,120
553171,0
553172,128
553173,202
553174,103
553175,155
553176,69
553177,180
553178,67
553179,94
553180,155
